NNNNNNNNN         ZZZZZZZZZ         YYYYYYYYYYY         XXXXXXXXXXXXX         Bzsmoothed
363              .0000000            13.0000000            76.0000000              .1048088
364              .0000000            13.0000000            77.0000000              .1048030
365              .0000000            13.0000000            78.0000000              .1047973
366              .0000000            13.0000000            79.0000000              .1047916
367              .0000000            13.0000000            80.0000000              .1047861
368              .0000000            13.0000000            81.0000000              .1047807
369              .0000000            13.0000000            82.0000000              .1047759
370              .0000000            13.0000000            83.0000000              .1047711
371              .0000000            13.0000000            84.0000000              .1047671
372              .0000000            13.0000000            85.0000000              .1047633
373              .0000000            13.0000000            86.0000000              .1047604
374              .0000000            13.0000000            87.0000000              .1047584
375              .0000000            13.0000000            88.0000000              .1047558
376              .0000000            13.0000000            89.0000000              .1047559
377              .0000000            13.0000000            90.0000000              .1047549
378              .0000000            13.0000000            91.0000000          1.384944e-05
379              .0000000            13.0000000            92.0000000          1.383029e-05
380              .0000000            13.0000000            93.0000000          1.373555e-05
381              .0000000            13.0000000            94.0000000          1.363913e-05
382              .0000000            13.0000000            95.0000000          1.349464e-05
383            13.0000000              .0000000           -95.0000000          1.522251e-05
384            13.0000000              .0000000           -94.0000000          1.563499e-05
385            13.0000000              .0000000           -93.0000000          1.586554e-05
386            13.0000000              .0000000           -92.0000000          1.603459e-05
387            13.0000000              .0000000           -91.0000000              .1048479
388            13.0000000              .0000000           -90.0000000              .1048502
389            13.0000000              .0000000           -89.0000000              .1048553
390            13.0000000              .0000000           -88.0000000              .1048619
391            13.0000000              .0000000           -87.0000000              .1048714
392            13.0000000              .0000000           -86.0000000              .1048815
393            13.0000000              .0000000           -85.0000000              .1048931
394            13.0000000              .0000000           -84.0000000              .1049044
395            13.0000000              .0000000           -83.0000000              .1049165
396            13.0000000              .0000000           -82.0000000              .1049275
397            13.0000000              .0000000           -81.0000000              .1049389
398            13.0000000              .0000000           -80.0000000              .1049486
399            13.0000000              .0000000           -79.0000000              .1049586
400            13.0000000              .0000000           -78.0000000              .1049667
401            13.0000000              .0000000           -77.0000000              .1049748
402            13.0000000              .0000000           -76.0000000              .1049816
403            13.0000000              .0000000           -75.0000000              .1049880
404            13.0000000              .0000000           -74.0000000              .1049934
405            13.0000000              .0000000           -73.0000000              .1049984
406            13.0000000              .0000000           -72.0000000              .1050027
407            13.0000000              .0000000           -71.0000000              .1050065
408            13.0000000              .0000000           -70.0000000              .1050097
409            13.0000000              .0000000           -69.0000000              .1050126
410            13.0000000              .0000000           -68.0000000              .1050151
411            13.0000000              .0000000           -67.0000000              .1050172
412            13.0000000              .0000000           -66.0000000              .1050191
413            13.0000000              .0000000           -65.0000000              .1050206
414            13.0000000              .0000000           -64.0000000              .1050220
415            13.0000000              .0000000           -63.0000000              .1050231
416            13.0000000              .0000000           -62.0000000              .1050242
417            13.0000000              .0000000           -61.0000000              .1050250
418            13.0000000              .0000000           -60.0000000              .1050258
419            13.0000000              .0000000           -59.0000000              .1050263
420            13.0000000              .0000000           -58.0000000              .1050269
421            13.0000000              .0000000           -57.0000000              .1050273
422            13.0000000              .0000000           -56.0000000              .1050277
423            13.0000000              .0000000           -55.0000000              .1050280
424            13.0000000              .0000000           -54.0000000              .1050283
425            13.0000000              .0000000           -53.0000000              .1050284
426            13.0000000              .0000000           -52.0000000              .1050286
427            13.0000000              .0000000           -51.0000000              .1050287
428            13.0000000              .0000000           -50.0000000              .1050288
429            13.0000000              .0000000           -49.0000000              .1050289
430            13.0000000              .0000000           -48.0000000              .1050290
431            13.0000000              .0000000           -47.0000000              .1050290
432            13.0000000              .0000000           -46.0000000              .1050290
433            13.0000000              .0000000           -45.0000000              .1050290
434            13.0000000              .0000000           -44.0000000              .1050289
435            13.0000000              .0000000           -43.0000000              .1050288
436            13.0000000              .0000000           -42.0000000              .1050287
437            13.0000000              .0000000           -41.0000000              .1050285
438            13.0000000              .0000000           -40.0000000              .1050283
439            13.0000000              .0000000           -39.0000000              .1050281
440            13.0000000              .0000000           -38.0000000              .1050278
441            13.0000000              .0000000           -37.0000000              .1050274
442            13.0000000              .0000000           -36.0000000              .1050270
443            13.0000000              .0000000           -35.0000000              .1050265
444            13.0000000              .0000000           -34.0000000              .1050259
445            13.0000000              .0000000           -33.0000000              .1050251
446            13.0000000              .0000000           -32.0000000              .1050244
447            13.0000000              .0000000           -31.0000000              .1050233
448            13.0000000              .0000000           -30.0000000              .1050222
449            13.0000000              .0000000           -29.0000000              .1050208
450            13.0000000              .0000000           -28.0000000              .1050192
451            13.0000000              .0000000           -27.0000000              .1050174
452            13.0000000              .0000000           -26.0000000              .1050152
453            13.0000000              .0000000           -25.0000000              .1050127
454            13.0000000              .0000000           -24.0000000              .1050098
455            13.0000000              .0000000           -23.0000000              .1050066
456            13.0000000              .0000000           -22.0000000              .1050027
457            13.0000000              .0000000           -21.0000000              .1049984
458            13.0000000              .0000000           -20.0000000              .1049933
459            13.0000000              .0000000           -19.0000000              .1049879
460            13.0000000              .0000000           -18.0000000              .1049812
461            13.0000000              .0000000           -17.0000000              .1049743
462            13.0000000              .0000000           -16.0000000              .1049660
463            13.0000000              .0000000           -15.0000000              .1049575
464            13.0000000              .0000000           -14.0000000              .1049474
465            13.0000000              .0000000           -13.0000000              .1049373
466            13.0000000              .0000000           -12.0000000              .1049257
467            13.0000000              .0000000           -11.0000000              .1049142
468            13.0000000              .0000000           -10.0000000              .1049017
469            13.0000000              .0000000            -9.0000000              .1048897
470            13.0000000              .0000000            -8.0000000              .1048774
471            13.0000000              .0000000            -7.0000000              .1048666
472            13.0000000              .0000000            -6.0000000              .1048561
473            13.0000000              .0000000            -5.0000000              .1048487
474            13.0000000              .0000000            -4.0000000              .1048425
475            13.0000000              .0000000            -3.0000000              .1048399
476            13.0000000              .0000000            -2.0000000          2.053213e-05
477            13.0000000              .0000000            -1.0000000          2.053060e-05
478            13.0000000              .0000000              .0000000          2.052958e-05
479            13.0000000              .0000000             1.0000000          2.052954e-05
480            13.0000000              .0000000             2.0000000              .1048524
